preco;condominio;area;quartos;vagas;banheiros;link;imobiliaria;data_scrape;bairro;status;tipo;last_seen
2290000.0;;360.0;0;0;3;https://www.friasneto.com.br/comprar/comercial/piracicaba/nova-piracicaba/comercial-comprar-nova-piracicaba-em-piracicaba/148042;Frias_neto;2024-01-17;Nova_piracicaba;Compra;Casa;2024-02-12
2280000.0;;400.0;0;4;5;https://www.friasneto.com.br/comprar/comercial/piracicaba/centro/comercial-comprar-centro-em-piracicaba/8590;Frias_neto;2024-01-22;Centro;Compra;Casa;2024-02-12
2250000.0;;378.0;3;5;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/jardim-europa/residencial-comprar-jardim-europa-em-piracicaba/87038;Frias_neto;2024-01-17;Jardim_europa;Compra;Casa;2024-02-12
2250000.0;;301.2;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-d'aquila/residencial-comprar-villa-d'aquila-em-piracicaba/145813;Frias_neto;2023-10-30;Villa_daquila;Compra;Apartamento;2024-02-12
2250000.0;;202.0;4;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/alto/residencial-comprar-alto-em-piracicaba/140299;Frias_neto;2023-10-30;Alto;Compra;Apartamento;2024-02-12
2250000.0;;213.31;3;3;4;https://www.friasneto.com.br/comprar/residencial/piracicaba/nova-piracicaba/residencial-comprar-nova-piracicaba-em-piracicaba/140497;Frias_neto;2023-10-30;Nova_piracicaba;Compra;Apartamento;2024-02-12
2250000.0;;480.71;4;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/morato/residencial-comprar-morato-em-piracicaba/147417;Frias_neto;2023-10-30;Morato;Compra;Apartamento;2024-02-12
2230000.0;;426.37;4;2;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/damha/residencial-comprar-damha-em-piracicaba/142781;Frias_neto;2023-11-29;Damha;Compra;Apartamento;2024-02-12
2200000.0;;306.0;3;4;5;https://www.friasneto.com.br/comprar/residencial/piracicaba/villa-d'aquila/residencial-comprar-villa-d'aquila-em-piracicaba/146740;Frias_neto;2023-10-30;Villa_daquila;Compra;Apartamento;2024-02-12
2200000.0;;261.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/140465;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-01-17
2200000.0;;403.44;5;4;8;https://www.friasneto.com.br/comprar/residencial/piracicaba/reserva-do-engenho/residencial-comprar-reserva-do-engenho-em-piracicaba/59993;Frias_neto;2023-10-30;Reserva_do_engenho;Compra;Apartamento;2024-02-12
2200000.0;;521.1;0;8;5;https://www.friasneto.com.br/comprar/comercial/piracicaba/cidade-jardim/comercial-comprar-cidade-jardim-em-piracicaba/562;Frias_neto;2023-10-30;Cidade_jardim;Compra;Casa;2024-01-31
2200000.0;;261.0;4;4;6;https://www.friasneto.com.br/comprar/residencial/piracicaba/centro/residencial-comprar-centro-em-piracicaba/142061;Frias_neto;2023-10-30;Centro;Compra;Apartamento;2024-02-12
2200000.0;;769.75;3;2;2;https://www.friasneto.com.br/comprar/residencial/piracicaba/santa-terezinha/residencial-comprar-santa-terezinha-em-piracicaba/145021;Frias_neto;2023-10-30;Santa_terezinha;Compra;Casa;2024-02-12
