preco;area;quartos;vagas;banheiros;link;Imobiliaria;bairro;Data_scrape;last_seen
600.0;45.0;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/pompeia/residencial-alugar-pompeia-em-piracicaba/7480;Frias Neto;Pompeia;2023-10-07;2023-12-18
600.0;45.37;2;1;1;https://www.duoimoveis.com.br/imovel/casa-de-45-m-com-2-quartos-nova-suica-piracicaba/CA4690-003?from=sale;duo imoveis;Nova_suica;2023-10-07;2023-11-06
600.0;45.37;2;1;1;https://www.duoimoveis.com.br/imovel/casa-de-45-m-com-2-quartos-nova-suica-piracicaba/ca4690-003?from=sale;duo imoveis;Nova_suica;2023-11-01;2023-11-03
600.0;46.59;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/santa-terezinha/residencial-alugar-santa-terezinha-em-piracicaba/44809;Frias Neto;Santa_terezinha;2023-11-09;2023-11-28
600.0;48.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_sao_francisco-apartamento-24683;Junqueira;Jardim_sao_francisco;2023-10-07;2023-10-07
600.0;48.18;1;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/vila-sonia/residencial-alugar-vila-sonia-em-piracicaba/148343;Frias Neto;Vila_sonia;2023-10-30;2023-11-15
600.0;48.18;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/vila-sonia/residencial-alugar-vila-sonia-em-piracicaba/148343;Frias Neto;Vila_sonia;2023-11-16;2023-12-18
600.0;49.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vale_do_sol-apartamento-24857;Junqueira;Vale_do_sol;2023-10-07;2023-10-07
600.0;49.1;1;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-casa-23173;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
600.0;52.68;2;0;1;https://www.duoimoveis.com.br/imovel/apartamento-de-53-m-com-2-quartos-jardim-primavera-piracicaba/AP4407-003?from=sale;duo imoveis;Jardim_primavera;2023-10-07;2023-12-18
600.0;52.68;2;0;1;https://www.duoimoveis.com.br/imovel/apartamento-de-53-m-com-2-quartos-jardim-primavera-piracicaba/ap4407-003?from=sale;duo imoveis;Jardim_primavera;2023-11-01;2023-11-03
600.0;55.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/centro/comercial-alugar-centro-em-piracicaba/148359;Frias Neto;Centro;2023-10-30;2023-12-18
600.0;56.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-56-m-com-2-quartos-gleba-california-piracicaba/AP5799-003?from=sale;duo imoveis;Gleba_california;2023-10-11;2023-11-08
600.0;56.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-56-m-com-2-quartos-gleba-california-piracicaba/ap5799-003?from=sale;duo imoveis;Gleba_california;2023-11-01;2023-11-03
600.0;87.4;0;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-alto-sala_comercial-16839;Junqueira;Alto;2023-10-07;2023-10-07
600.0;94.0;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/nova-suica/residencial-alugar-nova-suica-em-piracicaba/146583;Frias Neto;Nova_suica;2023-10-07;2023-11-21
600.0;187.0;0;0;1;https://www.friasneto.com.br/alugar/comercial/piracicaba/vila-monteiro/comercial-alugar-vila-monteiro-em-piracicaba/146569;Frias Neto;Vila_monteiro;2023-11-07;2023-11-24
600.0;202.5;1;0;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/ondas/residencial-alugar-ondas-em-piracicaba/141975;Frias Neto;Ondas;2023-10-07;2023-12-18
600.0;211.2;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-asturias-terreno-21442;Junqueira;Asturias;2023-10-07;2023-10-07
600.0;300.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-terreno-21707;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
600.0;300.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-santa_terezinha-terreno-21708;Junqueira;Santa_terezinha;2023-10-07;2023-10-07
605.0;29.6;1;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-nova_america-casa-25766;Junqueira;Nova_america;2023-10-07;2023-10-07
625.34;26.0;0;1;1;https://www.duoimoveis.com.br/imovel/sala-de-26-m-capim-fino-piracicaba/SA0408-003?from=sale;duo imoveis;Capim_fino;2023-10-07;2023-12-18
625.34;26.0;0;1;1;https://www.duoimoveis.com.br/imovel/sala-de-26-m-capim-fino-piracicaba/sa0408-003?from=sale;duo imoveis;Capim_fino;2023-11-01;2023-11-03
630.0;17.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-17-m-vila-independencia-piracicaba/SA0491-003?from=sale;duo imoveis;Vila_independencia;2023-10-07;2023-12-18
630.0;17.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-17-m-vila-independencia-piracicaba/sa0491-003?from=sale;duo imoveis;Vila_independencia;2023-11-01;2023-11-03
630.0;50.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-piazza_san_marco-apartamento-25908;Junqueira;Piazza_san_marco;2023-10-07;2023-10-07
650.0;7.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-7-m-alto-piracicaba/SA0465-003?from=sale;duo imoveis;Alto;2023-10-07;2023-12-13
650.0;7.05;0;0;0;https://www.duoimoveis.com.br/imovel/sala-de-7-m-alto-piracicaba/sa0465-003?from=sale;duo imoveis;Alto;2023-11-01;2023-11-03
650.0;15.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-rio_das_pedras-vila_kennedy-sala_comercial-24835;Junqueira;Vila_kennedy;2023-10-07;2023-10-07
650.0;20.0;0;0;0;https://www.friasneto.com.br/alugar/comercial/piracicaba/cidade-jardim/comercial-alugar-cidade-jardim-em-piracicaba/142437;Frias Neto;Cidade_jardim;2023-10-07;2023-12-18
650.0;20.6;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-piracicamirim-sala_comercial-2177;Junqueira;Piracicamirim;2023-10-07;2023-10-07
650.0;25.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-centro-sala_comercial-17970;Junqueira;Centro;2023-10-07;2023-10-07
650.0;35.0;1;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vila_sonia-casa-14913;Junqueira;Vila_sonia;2023-10-07;2023-10-07
650.0;40.0;0;0;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_sao_luiz-sala_comercial-25059;Junqueira;Jardim_sao_luiz;2023-10-07;2023-10-07
650.0;45.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_itapua-apartamento-24819;Junqueira;Jardim_itapua;2023-10-07;2023-10-07
650.0;45.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-jardim_sao_francisco-apartamento-3671;Junqueira;Jardim_sao_francisco;2023-10-07;2023-10-07
650.0;45.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-nova_suica-apartamento-25331;Junqueira;Nova_suica;2023-10-07;2023-10-07
650.0;45.95;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-46-m-com-2-quartos-piracicamirim-piracicaba/AP5150-003?from=sale;duo imoveis;Piracicamirim;2023-10-28;2023-12-18
650.0;45.95;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-46-m-com-2-quartos-piracicamirim-piracicaba/AP5151-003?from=sale;duo imoveis;Piracicamirim;2023-10-28;2023-12-18
650.0;45.95;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-46-m-com-2-quartos-piracicamirim-piracicaba/ap5150-003?from=sale;duo imoveis;Piracicamirim;2023-11-01;2023-11-03
650.0;45.95;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-46-m-com-2-quartos-piracicamirim-piracicaba/ap5151-003?from=sale;duo imoveis;Piracicamirim;2023-11-01;2023-11-03
650.0;46.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-monte_libano-apartamento-25935;Junqueira;Monte_libano;2023-10-07;2023-10-07
650.0;46.0;2;1;1;https://www.friasneto.com.br/alugar/residencial/piracicaba/jardim-sao-francisco/residencial-alugar-jardim-sao-francisco-em-piracicaba/143048;Frias Neto;Jardim_sao_francisco;2023-10-24;2023-12-03
650.0;48.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vitta_agua_branca-apartamento-25823;Junqueira;Vitta_agua_branca;2023-10-07;2023-10-07
650.0;49.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-nova_suica-apartamento-25323;Junqueira;Nova_suica;2023-10-07;2023-10-07
650.0;49.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-49-m-com-2-quartos-jardim-sao-francisco-piracicaba/AP5829-003?from=sale;duo imoveis;Jardim_sao_francisco;2023-10-07;2023-12-18
650.0;49.0;2;1;1;https://www.duoimoveis.com.br/imovel/apartamento-de-49-m-com-2-quartos-jardim-sao-francisco-piracicaba/ap5829-003?from=sale;duo imoveis;Jardim_sao_francisco;2023-11-01;2023-11-03
650.0;50.0;2;1;0;https://www.imobiliariajunqueira.com.br/imovel/aluguel-piracicaba-vila_sonia-apartamento-25456;Junqueira;Vila_sonia;2023-10-07;2023-10-07
